Ref,Val,Package,PosX,PosY,Rot,Side
"1V8","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",104.000000,-103.000000,0.000000,top
"C1","0.1 uF","C_0603_1608Metric",91.637500,-103.500000,0.000000,top
"C2","0.1 uF","C_0603_1608Metric",92.900000,-100.000000,90.000000,top
"C3","0.1 uF","C_0603_1608Metric",88.000000,-103.500000,180.000000,top
"C4","0.1 uF","C_0603_1608Metric",111.750000,-102.900000,0.000000,top
"C5","0.1 uF","C_0603_1608Metric",112.900000,-99.900000,90.000000,top
"C6","0.1 uF","C_0603_1608Metric",108.250000,-102.900000,180.000000,top
"GND","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",114.500000,-95.000000,0.000000,top
"J1","Conn_01x04_Pin","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",89.000000,-90.000000,180.000000,top
"J2","Conn_01x04_Pin","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",111.000000,-90.000000,180.000000,top
"J3","Conn_02x02_Odd_Even","PinSocket_2x02_P2.54mm_Horizontal",100.000000,-96.500000,-90.000000,top
"R1","10k","R_1206_3216Metric",104.500000,-95.000000,90.000000,top
"R2","10k","R_1206_3216Metric",107.000000,-95.000000,90.000000,top
"U1","NCP163AFCS180T2G","WLCSP-4_0.64x0.64mm_Layout2x2_P0.35mm",100.000000,-103.175000,0.000000,top
"U2","ICM-20948","InvenSense_QFN-24_3x3mm_P0.4mm",90.000000,-100.000000,0.000000,top
"U3","ICM-20948","InvenSense_QFN-24_3x3mm_P0.4mm",110.000000,-100.000000,0.000000,top
"VCC","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",86.000000,-97.000000,0.000000,top
